Date,Actual_Regime,Risk_Probability
2026-01-29,0,0.2957722
2026-01-30,0,0.36500525
2026-02-02,0,0.28573063
2026-02-03,0,0.28883538
2026-02-04,0,0.35345617
2026-02-05,0,0.38030457
2026-02-06,0,0.3820201
2026-02-09,0,0.26069313
2026-02-10,0,0.15132383
2026-02-11,0,0.1750788
2026-02-12,0,0.4051276
2026-02-13,0,0.4555264
2026-02-16,0,0.46301174
2026-02-17,0,0.29903653
2026-02-18,0,0.27949798
2026-02-19,0,0.4379966
2026-02-20,1,0.36753538
2026-02-23,0,0.35802308
2026-02-24,1,0.35016462
2026-02-25,1,0.36349764
2026-02-26,1,0.32126355
2026-02-27,1,0.22377896
2026-03-02,1,0.29104683
2026-03-03,1,0.28094772
2026-03-04,1,0.32253242
2026-03-05,1,0.36736885
2026-03-06,1,0.5425287
2026-03-09,1,0.59983164
2026-03-10,1,0.4896871
2026-03-11,1,0.60817546
2026-03-12,1,0.57690173
2026-03-13,1,0.5868501
2026-03-16,1,0.57778275
2026-03-17,1,0.55060714
2026-03-18,1,0.5449773
2026-03-19,1,0.3822769
2026-03-23,1,0.5332918
2026-03-24,1,0.4366046
2026-03-25,1,0.22753112
2026-03-26,1,0.24494094
2026-03-27,1,0.23558307
2026-03-30,1,0.24639516
2026-03-31,1,0.3725251
2026-04-01,0,0.22673291
2026-04-02,0,0.2500314
2026-04-03,0,0.18164861
2026-04-06,0,0.22977437
2026-04-07,0,0.12257845
2026-04-08,0,0.31849748
2026-04-09,0,0.37327775
2026-04-10,0,0.33917198
2026-04-13,0,0.44041762
2026-04-14,0,0.37281537
2026-04-15,1,0.39374432
2026-04-16,1,0.3469373
2026-04-17,1,0.37264502
2026-04-20,1,0.3789949
2026-04-21,1,0.37679833
2026-04-22,1,0.39491048
2026-04-23,1,0.59190375
2026-04-24,1,0.43999562
2026-04-27,1,0.39435205
2026-04-28,1,0.40104404
2026-04-29,1,0.4113224
2026-04-30,1,0.47411063
2026-05-01,1,0.515803
2026-05-04,1,0.5093371
2026-05-05,1,0.4495788
2026-05-06,1,0.5031243
2026-05-07,1,0.17755798
2026-05-08,1,0.14383829
2026-05-11,1,0.139479
2026-05-12,1,0.36932608
2026-05-13,1,0.35018438
2026-05-14,1,0.27397445
2026-05-15,1,0.23708378
2026-05-18,1,0.6985674
2026-05-20,1,0.6914287
2026-05-21,1,0.72198427
2026-05-22,1,0.6616218
2026-05-25,1,0.64014405
2026-05-26,1,0.7394426
2026-05-27,1,0.75428814
2026-05-28,1,0.72034216
2026-05-29,1,0.78478146
